trip_name,counts
Harry Bridges Plaza (Ferry Building) - 2nd at Townsend,5230
San Francisco Caltrain (Townsend at 4th) - Embarcadero at Folsom,4933
Steuart at Market - Embarcadero at Sansome,4631
San Francisco Caltrain (Townsend at 4th) - Temporary Transbay Terminal (Howard at Beale),4147
San Francisco Caltrain (Townsend at 4th) - Steuart at Market,4124
San Francisco Caltrain 2 (330 Townsend) - Townsend at 7th,3856
Market at Sansome - 2nd at South Park,3802
San Francisco Caltrain 2 (330 Townsend) - Market at 10th,3674
San Francisco Caltrain (Townsend at 4th) - Howard at 2nd,3303
Civic Center BART (7th at Market) - Townsend at 7th,2987
San Francisco Caltrain (Townsend at 4th) - Market at Sansome,2881
Steuart at Market - 2nd at Townsend,2743
San Francisco Caltrain (Townsend at 4th) - Townsend at 7th,2732
Powell Street BART - San Francisco Caltrain 2 (330 Townsend),2729
San Francisco Caltrain (Townsend at 4th) - Beale at Market,2671
Townsend at 7th - San Francisco Caltrain 2 (330 Townsend),2628
San Francisco Caltrain (Townsend at 4th) - Harry Bridges Plaza (Ferry Building),2591
Embarcadero at Sansome - Harry Bridges Plaza (Ferry Building),2517
Mountain View Caltrain Station - Mountain View City Hall,2491
San Francisco Caltrain 2 (330 Townsend) - Steuart at Market,2371
Harry Bridges Plaza (Ferry Building) - Embarcadero at Sansome,2360
San Francisco Caltrain 2 (330 Townsend) - Temporary Transbay Terminal (Howard at Beale),2291
San Jose Diridon Caltrain Station - Santa Clara at Almaden,2241
San Francisco Caltrain (Townsend at 4th) - Clay at Battery,2141
San Francisco Caltrain 2 (330 Townsend) - Embarcadero at Folsom,2129
Harry Bridges Plaza (Ferry Building) - San Francisco Caltrain (Townsend at 4th),2113
Market at Sansome - 2nd at Folsom,2053
San Francisco Caltrain (Townsend at 4th) - Market at 10th,2032
San Francisco Caltrain (Townsend at 4th) - Davis at Jackson,1993
San Francisco Caltrain 2 (330 Townsend) - Howard at 2nd,1964
San Francisco Caltrain (Townsend at 4th) - Market at 4th,1960
San Francisco Caltrain 2 (330 Townsend) - 5th at Howard,1886
San Francisco Caltrain (Townsend at 4th) - 2nd at Folsom,1886
Market at Sansome - 2nd at Townsend,1828
Mountain View Caltrain Station - Castro Street and El Camino Real,1751
San Francisco Caltrain (Townsend at 4th) - Yerba Buena Center of the Arts (3rd @ Howard),1731
Harry Bridges Plaza (Ferry Building) - 2nd at South Park,1728
Steuart at Market - Embarcadero at Vallejo,1657
San Francisco Caltrain 2 (330 Townsend) - Market at Sansome,1595
San Francisco Caltrain (Townsend at 4th) - Commercial at Montgomery,1590
San Francisco Caltrain (Townsend at 4th) - Mechanics Plaza (Market at Battery),1589
San Francisco Caltrain (Townsend at 4th) - Broadway St at Battery St,1563
2nd at Townsend - San Francisco Caltrain (Townsend at 4th),1514
San Francisco Caltrain (Townsend at 4th) - 5th at Howard,1514
Embarcadero at Bryant - San Francisco Caltrain (Townsend at 4th),1505
Harry Bridges Plaza (Ferry Building) - Townsend at 7th,1504
San Francisco Caltrain 2 (330 Townsend) - South Van Ness at Market,1426
Temporary Transbay Terminal (Howard at Beale) - Market at 4th,1391
Harry Bridges Plaza (Ferry Building) - Market at Sansome,1372
San Francisco Caltrain (Townsend at 4th) - Spear at Folsom,1295
