trip_name,counts
Harry Bridges Plaza (Ferry Building) - 2nd at Townsend,4990
San Francisco Caltrain (Townsend at 4th) - Temporary Transbay Terminal (Howard at Beale),4317
San Francisco Caltrain 2 (330 Townsend) - Townsend at 7th,4252
Steuart at Market - 2nd at Townsend,4171
Harry Bridges Plaza (Ferry Building) - Embarcadero at Sansome,3797
San Francisco Caltrain (Townsend at 4th) - Embarcadero at Folsom,3722
Market at Sansome - 2nd at South Park,3500
San Francisco Caltrain (Townsend at 4th) - Harry Bridges Plaza (Ferry Building),3465
Steuart at Market - Embarcadero at Sansome,3197
San Francisco Caltrain (Townsend at 4th) - Steuart at Market,3153
San Francisco Caltrain (Townsend at 4th) - Market at Sansome,3119
Mountain View Caltrain Station - Mountain View City Hall,2992
Civic Center BART (7th at Market) - Townsend at 7th,2980
San Francisco Caltrain (Townsend at 4th) - Howard at 2nd,2935
San Francisco Caltrain 2 (330 Townsend) - Market at 10th,2854
Powell Street BART - San Francisco Caltrain 2 (330 Townsend),2678
San Francisco Caltrain 2 (330 Townsend) - 5th at Howard,2596
Temporary Transbay Terminal (Howard at Beale) - 2nd at Townsend,2362
San Francisco Caltrain 2 (330 Townsend) - Embarcadero at Folsom,2344
San Francisco Caltrain 2 (330 Townsend) - Howard at 2nd,2302
San Francisco Caltrain (Townsend at 4th) - Davis at Jackson,2105
San Jose Diridon Caltrain Station - Santa Clara at Almaden,2019
San Francisco Caltrain 2 (330 Townsend) - Steuart at Market,1969
Harry Bridges Plaza (Ferry Building) - San Francisco Caltrain (Townsend at 4th),1949
San Francisco Caltrain 2 (330 Townsend) - Temporary Transbay Terminal (Howard at Beale),1947
San Francisco Caltrain (Townsend at 4th) - Beale at Market,1855
San Francisco Caltrain 2 (330 Townsend) - Market at Sansome,1850
San Francisco Caltrain (Townsend at 4th) - Yerba Buena Center of the Arts (3rd @ Howard),1840
Embarcadero at Bryant - San Francisco Caltrain (Townsend at 4th),1809
Townsend at 7th - San Francisco Caltrain 2 (330 Townsend),1772
San Francisco Caltrain 2 (330 Townsend) - Harry Bridges Plaza (Ferry Building),1737
Market at Sansome - 2nd at Townsend,1697
2nd at Townsend - San Francisco Caltrain (Townsend at 4th),1663
San Francisco Caltrain (Townsend at 4th) - Market at 10th,1652
San Francisco Caltrain (Townsend at 4th) - Clay at Battery,1629
San Francisco Caltrain (Townsend at 4th) - Townsend at 7th,1581
San Francisco Caltrain (Townsend at 4th) - Embarcadero at Vallejo,1572
Temporary Transbay Terminal (Howard at Beale) - 5th at Howard,1543
Market at 10th - Market at 4th,1520
Grant Avenue at Columbus Avenue - Embarcadero at Folsom,1464
Mountain View Caltrain Station - Castro Street and El Camino Real,1459
Temporary Transbay Terminal (Howard at Beale) - Townsend at 7th,1446
Temporary Transbay Terminal (Howard at Beale) - Commercial at Montgomery,1401
Beale at Market - Broadway St at Battery St,1400
Townsend at 7th - San Francisco Caltrain (Townsend at 4th),1398
Temporary Transbay Terminal (Howard at Beale) - Broadway St at Battery St,1385
San Francisco Caltrain (Townsend at 4th) - Mechanics Plaza (Market at Battery),1372
Harry Bridges Plaza (Ferry Building) - 2nd at South Park,1367
Harry Bridges Plaza (Ferry Building) - Townsend at 7th,1362
San Francisco Caltrain (Townsend at 4th) - 2nd at Folsom,1329
Temporary Transbay Terminal (Howard at Beale) - San Francisco Caltrain (Townsend at 4th),1319
Steuart at Market - San Francisco Caltrain (Townsend at 4th),1316
Grant Avenue at Columbus Avenue - San Francisco Caltrain (Townsend at 4th),1299
Grant Avenue at Columbus Avenue - Market at Sansome,1298
2nd at Townsend - Harry Bridges Plaza (Ferry Building),1234
Market at 10th - San Francisco Caltrain (Townsend at 4th),1220
San Jose Diridon Caltrain Station - San Pedro Square,1216
Market at 4th - San Francisco Caltrain (Townsend at 4th),1185
Steuart at Market - Townsend at 7th,1175
Temporary Transbay Terminal (Howard at Beale) - Embarcadero at Vallejo,1171
San Antonio Caltrain Station - San Antonio Shopping Center,1160
Embarcadero at Sansome - Steuart at Market,1159
Temporary Transbay Terminal (Howard at Beale) - Market at 4th,1118
2nd at Townsend - Steuart at Market,1056
2nd at South Park - San Francisco Caltrain (Townsend at 4th),1055
Powell Street BART - San Francisco Caltrain (Townsend at 4th),1049
San Francisco Caltrain (Townsend at 4th) - Commercial at Montgomery,1048
Harry Bridges Plaza (Ferry Building) - Market at Sansome,1041
San Francisco Caltrain 2 (330 Townsend) - Powell Street BART,1039
Steuart at Market - Embarcadero at Vallejo,1038
Market at 10th - San Francisco Caltrain 2 (330 Townsend),1019
2nd at Folsom - San Francisco Caltrain (Townsend at 4th),1019
Embarcadero at Sansome - Temporary Transbay Terminal (Howard at Beale),1011
South Van Ness at Market - Market at Sansome,999
San Francisco Caltrain 2 (330 Townsend) - Yerba Buena Center of the Arts (3rd @ Howard),999
Harry Bridges Plaza (Ferry Building) - Howard at 2nd,977
Temporary Transbay Terminal (Howard at Beale) - 2nd at South Park,970
San Francisco Caltrain (Townsend at 4th) - Embarcadero at Sansome,962
San Francisco Caltrain 2 (330 Townsend) - Davis at Jackson,957
Embarcadero at Sansome - Harry Bridges Plaza (Ferry Building),949
Evelyn Park and Ride - Mountain View Caltrain Station,937
San Francisco Caltrain (Townsend at 4th) - Spear at Folsom,929
Market at Sansome - 2nd at Folsom,921
2nd at Townsend - Townsend at 7th,912
Embarcadero at Bryant - Embarcadero at Vallejo,912
San Francisco Caltrain 2 (330 Townsend) - 2nd at Folsom,898
Harry Bridges Plaza (Ferry Building) - 2nd at Folsom,896
Grant Avenue at Columbus Avenue - Beale at Market,896
San Francisco Caltrain (Townsend at 4th) - 5th at Howard,895
Temporary Transbay Terminal (Howard at Beale) - Clay at Battery,891
2nd at Townsend - Howard at 2nd,890
Embarcadero at Folsom - San Francisco Caltrain (Townsend at 4th),879
San Francisco Caltrain (Townsend at 4th) - Post at Kearny,870
Beale at Market - Embarcadero at Vallejo,870
Market at 10th - Market at Sansome,868
Temporary Transbay Terminal (Howard at Beale) - Embarcadero at Sansome,862
San Jose Diridon Caltrain Station - Adobe on Almaden,851
San Francisco Caltrain (Townsend at 4th) - Broadway St at Battery St,844
Beale at Market - Commercial at Montgomery,821
San Francisco Caltrain 2 (330 Townsend) - Beale at Market,816
Embarcadero at Bryant - Embarcadero at Sansome,808
Embarcadero at Bryant - Harry Bridges Plaza (Ferry Building),808
Harry Bridges Plaza (Ferry Building) - San Francisco Caltrain 2 (330 Townsend),799
Powell at Post (Union Square) - Howard at 2nd,789
Ryland Park - San Jose Diridon Caltrain Station,778
Embarcadero at Bryant - Embarcadero at Folsom,771
San Francisco Caltrain 2 (330 Townsend) - Broadway St at Battery St,761
Beale at Market - 2nd at Townsend,760
Steuart at Market - 2nd at South Park,760
Japantown - San Jose Diridon Caltrain Station,753
Beale at Market - Temporary Transbay Terminal (Howard at Beale),745
2nd at Townsend - Temporary Transbay Terminal (Howard at Beale),744
Embarcadero at Sansome - Beale at Market,740
Embarcadero at Bryant - Mechanics Plaza (Market at Battery),740
Temporary Transbay Terminal (Howard at Beale) - Market at 10th,738
Palo Alto Caltrain Station - Cowper at University,735
Embarcadero at Folsom - 2nd at Townsend,734
San Francisco Caltrain 2 (330 Townsend) - Mechanics Plaza (Market at Battery),734
Temporary Transbay Terminal (Howard at Beale) - South Van Ness at Market,733
Harry Bridges Plaza (Ferry Building) - Yerba Buena Center of the Arts (3rd @ Howard),730
Steuart at Market - Embarcadero at Folsom,727
Spear at Folsom - 2nd at Townsend,719
San Francisco Caltrain (Townsend at 4th) - South Van Ness at Market,716
Grant Avenue at Columbus Avenue - Temporary Transbay Terminal (Howard at Beale),716
San Francisco Caltrain (Townsend at 4th) - Market at 4th,714
2nd at Townsend - Embarcadero at Folsom,712
Mountain View City Hall - Mountain View Caltrain Station,700
